"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",
"2022-05-12T07:21:17.153 UTC",0,"2022-05-12T07:21:19.672 UTC",0,"2022-05-12T07:23:19.430 UTC",0,"2022-05-12T07:23:20.628 UTC",0,
"2022-05-12T07:21:18.435 UTC",0,"2022-05-12T07:21:20.820 UTC",0,"2022-05-12T07:23:20.628 UTC",0,"2022-05-12T07:23:21.938 UTC",0,
"2022-05-12T07:21:19.672 UTC",0,"2022-05-12T07:21:22.659 UTC",0,"2022-05-12T07:23:21.938 UTC",0,"2022-05-12T07:23:23.689 UTC",0,
"2022-05-12T07:21:20.820 UTC",0,"2022-05-12T07:21:23.948 UTC",0,"2022-05-12T07:23:23.689 UTC",0,"2022-05-12T07:23:24.966 UTC",0,
"2022-05-12T07:21:22.659 UTC",0,"2022-05-12T07:21:25.185 UTC",0,"2022-05-12T07:23:24.966 UTC",0,"2022-05-12T07:23:26.217 UTC",0,
"2022-05-12T07:21:23.948 UTC",0,"2022-05-12T07:22:08.785 UTC",0,"2022-05-12T07:23:26.217 UTC",0,"2022-05-12T07:23:27.450 UTC",0,
"2022-05-12T07:21:25.185 UTC",0,"2022-05-12T07:22:09.955 UTC",0,"2022-05-12T07:23:27.450 UTC",0,"2022-05-12T07:23:29.514 UTC",0,
"2022-05-12T07:22:08.785 UTC",0,"2022-05-12T07:22:11.252 UTC",0,"2022-05-12T07:23:29.514 UTC",0,"2022-05-12T07:23:30.916 UTC",0,
"2022-05-12T07:22:09.955 UTC",0,"2022-05-12T07:22:13.524 UTC",0,"2022-05-12T07:23:30.916 UTC",0,"2022-05-12T07:24:15.939 UTC",0,
"2022-05-12T07:22:11.252 UTC",0,"2022-05-12T07:22:14.670 UTC",0,"2022-05-12T07:23:32.123 UTC",0,"2022-05-12T07:24:17.145 UTC",0,
"2022-05-12T07:22:13.524 UTC",0,"2022-05-12T07:22:16.022 UTC",0,"2022-05-12T07:24:15.939 UTC",0,"2022-05-12T07:24:19.073 UTC",0,
"2022-05-12T07:22:14.670 UTC",0,"2022-05-12T07:22:17.822 UTC",0,"2022-05-12T07:24:17.145 UTC",0,"2022-05-12T07:24:20.565 UTC",0,
"2022-05-12T07:22:16.022 UTC",0,"2022-05-12T07:22:19.323 UTC",0,"2022-05-12T07:24:19.073 UTC",0,"2022-05-12T07:24:21.752 UTC",0,
"2022-05-12T07:22:17.822 UTC",0,"2022-05-12T07:22:20.495 UTC",0,"2022-05-12T07:24:20.565 UTC",0,"2022-05-12T07:24:22.942 UTC",0,
"2022-05-12T07:22:19.323 UTC",0,"2022-05-12T07:22:21.646 UTC",0,"2022-05-12T07:24:21.752 UTC",0,"2022-05-12T07:24:24.480 UTC",0,
"2022-05-12T07:22:20.495 UTC",0,"2022-05-12T07:22:23.121 UTC",0,"2022-05-12T07:24:22.942 UTC",0,"2022-05-12T07:24:25.827 UTC",0,
"2022-05-12T07:22:21.646 UTC",0,"2022-05-12T07:22:24.384 UTC",0,"2022-05-12T07:24:24.480 UTC",0,"2022-05-12T07:24:27.066 UTC",0,
"2022-05-12T07:22:23.121 UTC",0,"2022-05-12T07:22:28.766 UTC",0,"2022-05-12T07:24:25.827 UTC",0,"2022-05-12T07:24:28.244 UTC",0,
"2022-05-12T07:22:24.384 UTC",0,"2022-05-12T07:22:30.147 UTC",0,"2022-05-12T07:24:27.066 UTC",0,"2022-05-12T07:24:29.799 UTC",0,
"2022-05-12T07:22:25.658 UTC",0,"2022-05-12T07:22:31.296 UTC",0,"2022-05-12T07:24:28.244 UTC",0,"2022-05-12T07:24:31.164 UTC",0,
"2022-05-12T07:22:28.766 UTC",0,"2022-05-12T07:22:32.439 UTC",0,"2022-05-12T07:24:29.799 UTC",0,"2022-05-12T07:24:32.350 UTC",0,
"2022-05-12T07:22:30.147 UTC",0,"2022-05-12T07:22:34.293 UTC",0,"2022-05-12T07:24:31.164 UTC",0,"2022-05-12T07:24:33.532 UTC",0,
"2022-05-12T07:22:31.296 UTC",0,"2022-05-12T07:22:35.634 UTC",0,"2022-05-12T07:24:32.350 UTC",0,"2022-05-12T07:24:36.334 UTC",0,
"2022-05-12T07:22:32.439 UTC",0,"2022-05-12T07:22:36.791 UTC",0,"2022-05-12T07:24:33.532 UTC",0,"2022-05-12T07:24:37.520 UTC",0,
"2022-05-12T07:22:34.293 UTC",0,"2022-05-12T07:22:37.986 UTC",0,"2022-05-12T07:24:36.334 UTC",0,"2022-05-12T07:24:38.836 UTC",0,
"2022-05-12T07:22:35.634 UTC",0,"2022-05-12T07:22:39.743 UTC",0,"2022-05-12T07:24:37.520 UTC",0,"2022-05-12T07:24:40.847 UTC",0,
"2022-05-12T07:22:36.791 UTC",0,"2022-05-12T07:22:41.110 UTC",0,"2022-05-12T07:24:38.836 UTC",0,"2022-05-12T07:24:42.427 UTC",0,
"2022-05-12T07:22:37.986 UTC",0,"2022-05-12T07:22:42.311 UTC",0,"2022-05-12T07:24:40.847 UTC",0,"2022-05-12T07:24:43.607 UTC",0,
"2022-05-12T07:22:39.743 UTC",0,"2022-05-12T07:22:43.521 UTC",0,"2022-05-12T07:24:42.427 UTC",0,"2022-05-12T07:24:44.805 UTC",0,
"2022-05-12T07:22:41.110 UTC",0,"2022-05-12T07:22:45.134 UTC",0,"2022-05-12T07:24:43.607 UTC",0,"2022-05-12T07:24:46.667 UTC",0,
"2022-05-12T07:22:42.311 UTC",0,"2022-05-12T07:22:46.443 UTC",0,"2022-05-12T07:24:44.805 UTC",0,"2022-05-12T07:24:48.148 UTC",0,
"2022-05-12T07:22:43.521 UTC",0,"2022-05-12T07:23:33.612 UTC",0,"2022-05-12T07:24:46.667 UTC",0,"2022-05-12T07:24:49.430 UTC",0,
"2022-05-12T07:22:45.134 UTC",0,"2022-05-12T07:23:35.258 UTC",0,"2022-05-12T07:24:48.148 UTC",0,"2022-05-12T07:24:50.661 UTC",0,
"2022-05-12T07:22:46.443 UTC",0,"2022-05-12T07:23:36.752 UTC",0,"2022-05-12T07:24:49.430 UTC",0,"2022-05-12T07:24:52.293 UTC",0,
"2022-05-12T07:22:47.660 UTC",0,"2022-05-12T07:23:37.957 UTC",0,"2022-05-12T07:24:50.661 UTC",0,"2022-05-12T07:24:53.734 UTC",0,
"2022-05-12T07:23:33.612 UTC",0,"2022-05-12T07:23:39.436 UTC",0,"2022-05-12T07:24:52.293 UTC",0,"2022-05-12T07:24:55.002 UTC",0,
"2022-05-12T07:23:35.258 UTC",0,"2022-05-12T07:23:40.890 UTC",0,"2022-05-12T07:24:53.734 UTC",0,"2022-05-12T07:24:56.291 UTC",0,
"2022-05-12T07:23:36.752 UTC",0,"2022-05-12T07:23:42.254 UTC",0,"2022-05-12T07:24:55.002 UTC",0,"2022-05-12T07:25:40.336 UTC",0,
"2022-05-12T07:23:37.957 UTC",0,"2022-05-12T07:23:43.418 UTC",0,"2022-05-12T07:24:56.291 UTC",0,"2022-05-12T07:25:41.486 UTC",0,
"2022-05-12T07:23:39.436 UTC",0,"2022-05-12T07:23:44.682 UTC",0,"2022-05-12T07:25:40.336 UTC",0,"2022-05-12T07:25:43.833 UTC",0,
"2022-05-12T07:23:40.890 UTC",0,"2022-05-12T07:23:46.856 UTC",0,"2022-05-12T07:25:41.486 UTC",0,"2022-05-12T07:25:45.040 UTC",0,
